# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
AUG22 15.72892 -15.75486
AUG23 16.66903 -17.52989
AUG24 17.64981 -18.30347
AUG25 18.66011 -17.92597
AUG26 19.68331 -16.34169
AUG27 20.70178 -13.62206
AUG28 21.70153 -9.96781
AUG29 22.67511 -5.67667
AUG30 23.62144 -1.09033
AUG31 0.54386 3.45806
SEP1 1.44769 7.68156
SEP2 2.33803 11.35708
SEP3 3.21844 14.32753
SEP4 4.09053 16.49500
SEP5 4.95378 17.81111
SEP6 5.80619 18.26781
SEP7 6.64542 17.88953
SEP8 7.46944 16.72683
SEP9 8.27761 14.85106
SEP10 9.07106 12.35042
SEP11 9.85269 9.32728
SEP12 10.62725 5.89694
SEP13 11.40092 2.18750
SEP14 12.18094 -1.65967
SEP15 12.97525 -5.48919
SEP16 13.79183 -9.13147
SEP17 14.63775 -12.40372
SEP18 15.51817 -15.11386
SEP19 16.43467 -17.07008
SEP20 17.38419 -18.09792
SEP21 18.35856 -18.06517
SEP22 19.34589 -16.90981
SEP23 20.33339 -14.66217
SEP24 21.31058 -11.45233
SEP25 22.27147 -7.49942
SEP26 23.21481 -3.08586
SEP27 0.14286 1.47628
SEP28 1.05942 5.88047
SEP29 1.96797 9.85553
SEP30 2.87033 13.18656
OCT1 3.76594 15.72486
OCT2 4.65214 17.38825
OCT3 5.52503 18.15342
OCT4 6.38078 18.04417
OCT5 7.21692 17.11769
OCT6 8.03294 15.45228
OCT7 8.83081 13.13831
OCT8 9.61461 10.27372
OCT9 10.39028 6.96381
OCT10 11.16497 3.32403
OCT11 11.94683 -0.51506
OCT12 12.74417 -4.40300
OCT13 13.56500 -8.16650
OCT14 14.41597 -11.61075
OCT15 15.30111 -14.52692
OCT16 16.22036 -16.70786
OCT17 17.16869 -17.97189
OCT18 18.13631 -18.19003
OCT19 19.11061 -17.30981
OCT20 20.07939 -15.36644
OCT21 21.03394 -12.47872
OCT22 21.97061 -8.83317
OCT23 22.89050 -4.66411
OCT24 23.79817 -0.23450
OCT25 0.69942 4.18186
OCT26 1.59947 8.31858
OCT27 2.50128 11.93572
OCT28 3.40447 14.83872
OCT29 4.30525 16.89344
OCT30 5.19736 18.03317
OCT31 6.07386 18.25553
NOV1 6.92903 17.60983
NOV2 7.76003 16.17956
NOV3 8.56739 14.06553
NOV4 9.35497 11.37378
NOV5 10.12917 8.21042
NOV6 10.89836 4.68272
NOV7 11.67219 0.90531
NOV8 12.46081 -2.99122
NOV9 13.27431 -6.85081
NOV10 14.12147 -10.48558
NOV11 15.00836 -13.67725
NOV12 15.93617 -16.19089
NOV13 16.89953 -17.80453
NOV14 17.88636 -18.34961
NOV15 18.87994 -17.74931
NOV16 19.86367 -16.03642
NOV17 20.82539 -13.34317
NOV18 21.76000 -9.87089
NOV19 22.66908 -5.85628
NOV20 23.55886 -1.54697
NOV21 0.43781 2.81178
NOV22 1.31436 6.98361
NOV23 2.19500 10.74669
NOV24 3.08275 13.90303
NOV25 3.97642 16.29206
NOV26 4.87061 17.80544
NOV27 5.75722 18.39722
NOV28 6.62769 18.08394
NOV29 7.47533 16.93372
NOV30 8.29711 15.04817
DEC1 9.09406 12.54369
DEC2 9.87092 9.53833
DEC3 10.63542 6.14572
DEC4 11.39733 2.47644
DEC5 12.16783 -1.35472
DEC6 12.95869 -5.21792
DEC7 13.78164 -8.95617
DEC8 14.64669 -12.37564
DEC9 15.56011 -15.24539
DEC10 16.52161 -17.31453
DEC11 17.52203 -18.35250
DEC12 18.54375 -18.20519
DEC13 19.56478 -16.84364
DEC14 20.56539 -14.37689
DEC15 21.53350 -11.02222
DEC16 22.46614 -7.05258
DEC17 23.36772 -2.74900
DEC18 0.24703 1.62706
DEC19 1.11422 5.84297
DEC20 1.97856 9.69411
DEC21 2.84669 13.00156
DEC22 3.72147 15.61403
DEC23 4.60142 17.41522
DEC24 5.48103 18.33431
DEC25 6.35242 18.35394
DEC26 7.20750 17.51094
DEC27 8.04033 15.88714
DEC28 8.84850 13.59392
DEC29 9.63347 10.75592
DEC30 10.40039 7.49864
DEC31 11.15711 3.94269
JAN1 11.91358 0.20464
JAN2 12.68125 -3.59661
JAN3 13.47228 -7.32956
JAN4 14.29872 -10.83800
JAN5 15.17106 -13.93111
JAN6 16.09564 -16.38233
JAN7 17.07172 -17.94689
JAN8 18.08903 -18.40481
JAN9 19.12822 -17.62272
JAN10 20.16581 -15.60797
JAN11 21.18139 -12.52125
JAN12 22.16286 -8.63867
JAN13 23.10769 -4.28714
JAN14 0.02058 0.21392
JAN15 0.91000 4.58597
JAN16 1.78536 8.60128
JAN17 2.65469 12.07911
JAN18 3.52333 14.87908
JAN19 4.39308 16.89717
JAN20 5.26208 18.06658
JAN21 6.12561 18.36136
JAN22 6.97753 17.79903
JAN23 7.81222 16.43844
JAN24 8.62608 14.37228
JAN25 9.41847 11.71581
JAN26 10.19197 8.59550
JAN27 10.95186 5.14011
JAN28 11.70578 1.47658
JAN29 12.46300 -2.26989
JAN30 13.23397 -5.97119
JAN31 14.02978 -9.48861
FEB1 14.86111 -12.66417
FEB2 15.73692 -15.31417
FEB3 16.66206 -17.23092
FEB4 17.63483 -18.20083
FEB5 18.64536 -18.04344
FEB6 19.67644 -16.66517
FEB7 20.70797 -14.10608
FEB8 21.72272 -10.55214
FEB9 22.71056 -6.30267
FEB10 23.66892 -1.71008
FEB11 0.60103 2.88097
FEB12 1.51292 7.17439
FEB13 2.41081 10.93956
FEB14 3.29950 14.01100
FEB15 4.18128 16.28064
FEB16 5.05575 17.68911
FEB17 5.92042 18.21958
FEB18 6.77158 17.89278
FEB19 7.60572 16.76244
FEB20 8.42061 14.90964
FEB21 9.21608 12.43625
FEB22 9.99419 9.45831
FEB23 10.75917 6.10053
FEB24 11.51708 2.49247
FEB25 12.27536 -1.23314
FEB26 13.04242 -4.94003
FEB27 13.82717 -8.48597
FEB28 14.63844 -11.71931
MAR1 15.48397 -14.47594
MAR2 16.36903 -16.58000
MAR3 17.29489 -17.85175
MAR4 18.25739 -18.12772
MAR5 19.24683 -17.29244
MAR6 20.24981 -15.31542
MAR7 21.25256 -12.27894
MAR8 22.24461 -8.38317
MAR9 23.22044 -3.92292
MAR10 0.17939 0.75631
MAR11 1.12358 5.30894
MAR12 2.05603 9.43183
MAR13 2.97872 12.89053
MAR14 3.89156 15.52811
MAR15 4.79244 17.26147
MAR16 5.67781 18.07044
MAR17 6.54389 17.98383
MAR18 7.38792 17.06572
MAR19 8.20900 15.40325
MAR20 9.00833 13.09758
MAR21 9.78933 10.25842
MAR22 10.55703 7.00164
MAR23 11.31794 3.44922
MAR24 12.07933 -0.26933
MAR25 12.84908 -4.01525
MAR26 13.63503 -7.63922
MAR27 14.44450 -10.98106
MAR28 15.28347 -13.87158
MAR29 16.15544 -16.13772
MAR30 17.06058 -17.61292
MAR31 17.99489 -18.15317
APR1 18.95058 -17.65825
APR2 19.91772 -16.09325
APR3 20.88669 -13.50481
APR4 21.85053 -10.02719
APR5 22.80611 -5.87642
APR6 23.75394 -1.33272
APR7 0.69681 3.28628
APR8 1.63753 7.65944
APR9 2.57739 11.49736
APR10 3.51478 14.57250
APR11 4.44489 16.73761
APR12 5.36094 17.92964
APR13 6.25583 18.15983
APR14 7.12422 17.49450
APR15 7.96381 16.03328
APR16 8.77564 13.89069
APR17 9.56378 11.18447
APR18 10.33456 8.03078
APR19 11.09586 4.54533
APR20 11.85633 0.84772
APR21 12.62506 -2.93244
APR22 13.41081 -6.65039
APR23 14.22142 -10.14289
APR24 15.06294 -13.23000
APR25 15.93831 -15.72281
APR26 16.84622 -17.43911
APR27 17.78081 -18.22581
APR28 18.73222 -17.98314
APR29 19.68900 -16.68364
APR30 20.64117 -14.37931
MAY1 21.58253 -11.19636
MAY2 22.51183 -7.32217
MAY3 23.43197 -2.99053
MAY4 0.34847 1.53244
MAY5 1.26736 5.96319
MAY6 2.19297 10.02000
